subject,commercial_att_30s,commercial_aribnb_30s,commercial_carscom_30s,commercial_cookies_30s,commercial_dominos_30s,commercial_doritos_30s,commercial_google_pixel_30s,commercial_jersey_mikes_30s,commercial_lego_30s,commercial_milk_30s,commercial_progressive_30s,commercial_publix_30s,commercial_puma_30s,commercial_meta_quest_2_30s,commercial_starbucks_30s,commercial_hr_block_30s,commercial_under_armour_30s,commercial_expedia_30s,health_alzheimers_30s,health_stroke_30s,health_alcohol_30s,health_drunk_driving_30s,health_diet_30s,health_kidney_30s,health_mantherapy_30s,health_fitness_30s,health_prediabetes_30s,health_vaping_30s,health_covid_vaccine_30s,health_weight_30s,,distractor_related_milk_30s,distractor_related_nike,distractor_related_sony,distractor_related_covid_vaccine_30s,distractor_related_stroke_30s,,distractor_unrelated_pare_technologies,distractor_unrelated_ahmc,distractor_unrelated_brain_30s,distractor_unrelated_beauty,distractor_unrelated_iedg
sub032,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,,0,0,0,0,1,,0,0,0,0,0
sub033,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,,1,0,0,0,0,,0,0,0,0,0
sub034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,,0,0,0,1,0,,0,0,0,1,0
sub035,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,,0,0,0,1,0,,0,0,1,0,0
sub036,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub037,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub039,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub040,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,0,0,1,0,,0,0,0,0,0
sub041,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,,1,0,1,1,1,,0,0,0,0,0
sub042,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,1,0,,0,0,1,0,0
sub043,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub044,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,0,,1,0,0,0,0
sub045,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,0,,0,0,0,0,0
sub046,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,1,1,1,0,,1,0,0,1,1
sub047,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,0,1,1,,0,0,0,0,0
sub048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
