ID,age,gender,commercial_att,distractor_related_milk,commercial_aribnb,commercial_carscom,commercial_cookies,commercial_dominos,distractor_unrelated_beauty,commercial_doritos,commercial_google_pixel,commercial_jersey_mikes,distractor_unrelated_iedg,commercial_lego,commercial_milk,distractor_related_sony,commercial_progressive,commercial_publix,distractor_unrelated_pare_technologies,commercial_puma,commercial_meta_quest_2,commercial_starbucks,distractor_related_nike,commercial_hr_block,commercial_under_armour,commercial_expedia,health_alzheimers,health_stroke,distractor_related_covid_vaccine,health_alcohol,health_drunk_driving,distractor_related_stroke,health_diet,distractor_unrelated_ahmc,health_kidney,health_mantherapy,health_fitness,health_prediabetes,distractor_unrelated_brain,health_vaping,health_covid_vaccine,health_weight
sub031,21,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2
sub032,18,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1
sub033,19,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1
sub034,21,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1
sub035,20,1,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2
sub036,18,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1
sub037,20,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub038,20,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub039,20,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1
sub040,21,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1
sub041,19,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1
sub042,19,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2
sub043,19,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1
sub044,21,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
sub045,20,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub046,21,2,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2
sub047,20,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1
