condition,spot,recall,recognition,isc_ind2rest
50nd,commercial_under_armour_30s,0.21052631578947367,0.5789473684210527,0.5663774456631133
50nd,health_alcohol_30s,0.75,1.0,0.2587943933650168
50nd,health_alzheimers_30s,0.2631578947368421,0.7894736842105263,0.32773386249713204
50nd,health_covid_vaccine_30s,0.42105263157894735,0.8421052631578947,0.3287314110466002
50nd,health_diet_30s,0.3157894736842105,0.8421052631578947,0.5327286516890571
50nd,health_drunk_driving_30s,0.3333333333333333,0.9444444444444444,0.49198973916410144
50nd,health_fitness_30s,0.3,0.7,0.010922464727285053
50nd,health_kidney_30s,0.3,0.85,0.4765731386193714
50nd,health_mantherapy_30s,0.15,0.9,0.41645376358932007
50nd,health_prediabetes_30s,0.25,0.8,0.4995716143437277
50nd,health_stroke_30s,0.1,0.85,0.5729423646499516
50nd,health_vaping_30s,0.55,0.9,0.6409927824679644
50nd,health_weight_30s,0.2631578947368421,0.8947368421052632,0.5357691553320705
50wd,commercial_aribnb_30s,0.45,0.85,0.3380615994332755
50wd,commercial_att_30s,0.15,0.55,0.14975230059464423
50wd,commercial_carscom_30s,0.5,0.65,0.46264269877007846
50wd,commercial_cookies_30s,0.05,0.85,0.47845101353313
50wd,commercial_dominos_30s,0.15,0.8,0.42299901919413874
50wd,commercial_doritos_30s,0.3,0.95,0.6480827574670261
50wd,commercial_expedia_30s,0.15,0.5,0.3578933743746066
50wd,commercial_google_pixel_30s,0.0,0.631578947368421,0.489145132666605
50wd,commercial_hr_block_30s,0.15789473684210525,0.8947368421052632,0.5511029943820884
50wd,commercial_jersey_mikes_30s,0.3157894736842105,1.0,0.5259113315441892
50wd,commercial_lego_30s,0.21052631578947367,0.8947368421052632,0.6609622102746685
50wd,commercial_meta_quest_2_30s,0.058823529411764705,0.8823529411764706,0.5190940193383384
50wd,commercial_milk_30s,0.2777777777777778,0.5,0.42064049663374053
50wd,commercial_progressive_30s,0.4,1.0,0.30512094414218216
50wd,commercial_publix_30s,0.1,0.7,0.26527975115146457
50wd,commercial_puma_30s,0.05,0.8,0.41712453332644656
50wd,commercial_starbucks_30s,0.1,0.55,0.5429129514155109
50wd,commercial_under_armour_30s,0.2,0.5,0.3353626454491375
50wd,health_alcohol_30s,0.45,1.0,0.2994176346993158
50wd,health_alzheimers_30s,0.25,0.8,0.3898642277308116
50wd,health_covid_vaccine_30s,0.3,0.85,0.3429391255839035
50wd,health_diet_30s,0.2,0.95,0.3048252167856015
50wd,health_drunk_driving_30s,0.2,0.8,0.33383345569777617
50wd,health_fitness_30s,0.11764705882352941,0.47058823529411764,0.10180004129815201
50wd,health_kidney_30s,0.1111111111111111,0.8333333333333334,0.5879669856972379
50wd,health_mantherapy_30s,0.2631578947368421,1.0,0.36861031834990926
50wd,health_prediabetes_30s,0.5,0.9444444444444444,0.33344193744698464
50wd,health_stroke_30s,0.15,0.55,0.35702736597919793
50wd,health_vaping_30s,0.4,0.75,0.33401881302837044
50wd,health_weight_30s,0.25,0.6,0.3809444897616432
