condition,spot,recall,recognition,isc_ind2rest
100,commercial_aribnb_30s,0.55,0.85,0.6851771271350353
100,commercial_att_30s,0.0,1.0,0.4875050150198222
100,commercial_carscom_30s,0.25,0.8,0.6156727952909746
100,commercial_cookies_30s,0.1,0.95,0.6928991881725156
100,commercial_dominos_30s,0.3,1.0,0.6167899087096874
100,commercial_doritos_30s,0.47368421052631576,1.0,0.7031866561214691
100,commercial_expedia_30s,0.1,0.65,0.5979418869953703
100,commercial_google_pixel_30s,0.15,0.8,0.7684319733405793
100,commercial_hr_block_30s,0.35,1.0,0.6744590923686096
100,commercial_jersey_mikes_30s,0.35,1.0,0.4799484265046779
100,commercial_lego_30s,0.2,0.8,0.6625803222732782
100,commercial_meta_quest_2_30s,0.2,0.95,0.5576011302853567
100,commercial_milk_30s,0.2,0.95,0.5535984780963777
100,commercial_progressive_30s,0.10526315789473684,0.9473684210526315,0.6155029018124198
100,commercial_publix_30s,0.21052631578947367,0.8947368421052632,0.48652205549491684
100,commercial_puma_30s,0.5263157894736842,0.8947368421052632,0.47536130722083997
100,commercial_starbucks_30s,0.21052631578947367,0.7894736842105263,0.5775891161860867
100,commercial_under_armour_30s,0.3157894736842105,0.7368421052631579,0.5074702261683354
100,health_alcohol_30s,0.6842105263157895,0.9473684210526315,0.3931982957949156
100,health_alzheimers_30s,0.5,0.85,0.541736789193571
100,health_covid_vaccine_30s,0.2,0.95,0.41169489313829344
100,health_diet_30s,0.55,0.9,0.676346895251039
100,health_drunk_driving_30s,0.45,0.95,0.6593744221789554
100,health_fitness_30s,0.2,0.8,0.1526236664168866
100,health_kidney_30s,0.6,0.9,0.715798682670541
100,health_mantherapy_30s,0.1,1.0,0.3880973411922381
100,health_prediabetes_30s,0.4,0.9,0.5787203444308199
100,health_stroke_30s,0.10526315789473684,0.7894736842105263,0.45404227931389596
100,health_vaping_30s,0.5,0.9444444444444444,0.6179479199854551
100,health_weight_30s,0.3684210526315789,0.7368421052631579,0.5011047347419333
50nd,commercial_aribnb_30s,0.5263157894736842,0.9473684210526315,0.5138506399696522
50nd,commercial_att_30s,0.15,0.7,0.5429570089490564
50nd,commercial_carscom_30s,0.05555555555555555,0.7222222222222222,0.4575239902915087
50nd,commercial_cookies_30s,0.15789473684210525,0.9473684210526315,0.3095309713933167
50nd,commercial_dominos_30s,0.1111111111111111,0.9444444444444444,0.2871262375463834
50nd,commercial_doritos_30s,0.2777777777777778,1.0,0.771132312716748
50nd,commercial_expedia_30s,0.15789473684210525,0.631578947368421,0.4471341635706465
50nd,commercial_google_pixel_30s,0.15,0.85,0.5791338148046303
50nd,commercial_hr_block_30s,0.15,0.85,0.5276859842303614
50nd,commercial_jersey_mikes_30s,0.3,0.95,0.4521232193487029
50nd,commercial_lego_30s,0.2,0.55,0.6192796247995094
50nd,commercial_meta_quest_2_30s,0.15,0.8,0.4199266877215318
50nd,commercial_milk_30s,0.15,0.75,0.5563832088736567
50nd,commercial_progressive_30s,0.25,1.0,0.6826369089629929
50nd,commercial_publix_30s,0.2,0.8,0.6606107386447163
50nd,commercial_puma_30s,0.10526315789473684,0.9473684210526315,0.44706562812000467
50nd,commercial_starbucks_30s,0.15789473684210525,0.8947368421052632,0.5704650320269004
