subject,condition,spot,recall,recognition,isc_ind2rest
sub002,100,health_covid_vaccine_30s,1.0,1.0,0.06578862941200045
sub002,100,health_diet_30s,0.0,1.0,0.5874617705340445
sub002,100,health_drunk_driving_30s,0.0,0.0,-0.01748047238501214
sub002,50nd,health_fitness_30s,1.0,1.0,-0.114073026961175
sub002,50nd,health_kidney_30s,0.0,0.0,0.6481216855777677
sub002,50nd,health_mantherapy_30s,0.0,1.0,0.6345230523542064
sub002,50nd,health_prediabetes_30s,1.0,1.0,0.1501064083107683
sub002,50wd,health_stroke_30s,0.0,1.0,0.1142246658350735
sub002,50wd,health_vaping_30s,0.0,0.0,0.48069916101357324
sub002,50wd,health_weight_30s,0.0,0.0,0.08270374635210015
sub003,50wd,commercial_aribnb_30s,1.0,1.0,0.26120197797499484
sub003,50nd,commercial_att_30s,0.0,1.0,0.41078973257146495
sub003,50wd,commercial_carscom_30s,1.0,1.0,0.24236806170592567
sub003,50wd,commercial_cookies_30s,0.0,1.0,0.1652551527506487
sub003,50wd,commercial_dominos_30s,0.0,1.0,0.6152537720174018
sub003,50wd,commercial_doritos_30s,1.0,1.0,0.658058852604147
sub003,50wd,commercial_expedia_30s,0.0,0.0,0.2626954992901903
sub003,100,commercial_google_pixel_30s,0.0,1.0,0.7727162338799575
sub003,100,commercial_hr_block_30s,0.0,1.0,0.8867464022763951
sub003,100,commercial_jersey_mikes_30s,1.0,1.0,0.1526652396740693
sub003,100,commercial_lego_30s,0.0,1.0,0.6841238318378002
sub003,100,commercial_meta_quest_2_30s,0.0,1.0,0.07400332287920473
sub003,100,commercial_milk_30s,0.0,1.0,-0.18067972716502856
sub003,50nd,commercial_progressive_30s,0.0,1.0,0.5815447657675409
sub003,50nd,commercial_publix_30s,0.0,1.0,-0.01708926108659575
sub003,50nd,commercial_puma_30s,0.0,1.0,0.32842447784137363
sub003,50nd,commercial_starbucks_30s,0.0,1.0,0.1087300039266746
sub003,50nd,commercial_under_armour_30s,1.0,1.0,0.5745977083323236
sub003,50nd,health_alcohol_30s,1.0,1.0,-0.4672910365167558
sub003,50wd,health_alzheimers_30s,0.0,1.0,0.2574653981396764
sub003,50wd,health_covid_vaccine_30s,1.0,1.0,0.1418444768538832
sub003,50wd,health_diet_30s,1.0,1.0,-0.2630032977328716
sub003,50wd,health_drunk_driving_30s,1.0,1.0,-0.35577020782559726
sub003,100,health_fitness_30s,0.0,1.0,-0.06862471210928762
sub003,100,health_kidney_30s,1.0,1.0,0.29845669346161685
sub003,100,health_mantherapy_30s,1.0,1.0,0.015053309719872137
sub003,100,health_prediabetes_30s,1.0,1.0,0.1745099563884981
sub003,50nd,health_stroke_30s,0.0,1.0,0.6964090847248993
sub003,50nd,health_vaping_30s,1.0,1.0,0.024732555881166948
sub003,50nd,health_weight_30s,0.0,1.0,0.13763653439696513
sub004,50wd,commercial_aribnb_30s,0.0,1.0,0.4048132600610989
sub004,100,commercial_att_30s,0.0,1.0,0.13362989254465532
sub004,50wd,commercial_carscom_30s,0.0,1.0,0.43075710739633394
sub004,50wd,commercial_cookies_30s,0.0,1.0,0.7111028580592761
sub004,50wd,commercial_dominos_30s,0.0,0.0,-0.10007848126121398
sub004,50wd,commercial_doritos_30s,1.0,1.0,0.6685394331357197
sub004,50wd,commercial_expedia_30s,1.0,1.0,0.3767985854315885
sub004,50nd,commercial_google_pixel_30s,0.0,1.0,0.7693706976829823
sub004,50nd,commercial_hr_block_30s,0.0,1.0,0.6613379534168449
sub004,50nd,commercial_jersey_mikes_30s,0.0,1.0,0.6202849826489776
sub004,50nd,commercial_lego_30s,0.0,0.0,0.22968287656026717
sub004,50nd,commercial_meta_quest_2_30s,1.0,0.0,0.09991813299709079
sub004,50nd,commercial_milk_30s,0.0,1.0,0.2394009650870192
sub004,100,commercial_progressive_30s,0.0,1.0,0.5388755206717791
sub004,100,commercial_publix_30s,0.0,1.0,0.13870272223690192
sub004,100,commercial_puma_30s,0.0,1.0,0.24586983882899
sub004,100,commercial_starbucks_30s,0.0,1.0,0.7639862144349939
sub004,100,commercial_under_armour_30s,0.0,1.0,0.2123554039010195
sub004,100,health_alcohol_30s,1.0,1.0,-0.09151944550284849
sub004,50wd,health_alzheimers_30s,1.0,1.0,0.43111568695693425
sub004,50wd,health_covid_vaccine_30s,0.0,1.0,0.009946375438079474
sub004,50wd,health_diet_30s,0.0,1.0,0.4170823931027567
sub004,50wd,health_drunk_driving_30s,1.0,1.0,0.316545258037873
sub004,50nd,health_fitness_30s,0.0,0.0,0.06683778136780881
sub004,50nd,health_kidney_30s,0.0,1.0,0.28852023702209567
sub004,50nd,health_mantherapy_30s,1.0,1.0,0.38022402438286457
sub004,50nd,health_prediabetes_30s,0.0,1.0,0.12029959911615841
sub004,100,health_stroke_30s,0.0,0.0,0.6189476987618138
sub004,100,health_vaping_30s,0.0,1.0,0.5176814130529978
sub004,100,health_weight_30s,1.0,1.0,0.5655252337002545
sub005,50nd,commercial_aribnb_30s,0.0,1.0,0.015650662858275922
sub005,50wd,commercial_att_30s,0.0,0.0,-0.3626656998500662
sub005,50nd,commercial_carscom_30s,0.0,0.0,0.2297309489748519
sub005,50nd,commercial_cookies_30s,0.0,1.0,-0.3856887523669882
sub005,50nd,commercial_dominos_30s,0.0,1.0,-0.04537575603840363
sub005,50nd,commercial_doritos_30s,0.0,1.0,0.30368481082612364
sub005,50nd,commercial_expedia_30s,0.0,1.0,0.34284855448283863
sub005,100,commercial_google_pixel_30s,0.0,0.0,0.3034560479606894
sub005,100,commercial_hr_block_30s,1.0,1.0,0.6405997901724554
sub005,100,commercial_jersey_mikes_30s,0.0,1.0,0.15236350237420843
sub005,100,commercial_lego_30s,0.0,1.0,0.5318848659855859
sub005,100,commercial_meta_quest_2_30s,0.0,1.0,0.44449430196748796
sub005,100,commercial_milk_30s,0.0,1.0,0.11875896226967306
sub005,50wd,commercial_progressive_30s,0.0,1.0,-0.01654445649432173
sub005,50wd,commercial_publix_30s,0.0,1.0,-0.1741661760178429
sub005,50wd,commercial_puma_30s,0.0,0.0,0.5310927166988215
sub005,50wd,commercial_starbucks_30s,0.0,0.0,0.3920055871785405
sub005,50wd,commercial_under_armour_30s,0.0,0.0,0.26407510536106
sub005,50wd,health_alcohol_30s,0.0,1.0,0.681311433592796
sub005,50nd,health_alzheimers_30s,0.0,0.0,0.09147675715451647
sub005,50nd,health_covid_vaccine_30s,0.0,0.0,-0.18622152809256612
sub005,50nd,health_diet_30s,0.0,1.0,0.1437310923323315
sub005,50nd,health_drunk_driving_30s,0.0,1.0,-0.2774961573333858
sub005,100,health_fitness_30s,0.0,0.0,-0.02977794880462228
sub005,100,health_kidney_30s,0.0,1.0,0.18627022619698536
sub005,100,health_mantherapy_30s,0.0,1.0,0.2958306901768394
sub005,100,health_prediabetes_30s,1.0,1.0,0.14671529334792643
sub005,50wd,health_stroke_30s,0.0,0.0,0.0468217521266025
sub005,50wd,health_vaping_30s,0.0,1.0,-0.2021815131202529
sub005,50wd,health_weight_30s,0.0,0.0,0.1312204552895661
sub006,50nd,commercial_aribnb_30s,1.0,1.0,0.016074700029606807
sub006,100,commercial_att_30s,0.0,1.0,0.3993268247971331
sub006,50nd,commercial_carscom_30s,0.0,1.0,0.21198043221166066
sub006,50nd,commercial_cookies_30s,0.0,1.0,-0.2539923860246961
sub006,50nd,commercial_dominos_30s,0.0,1.0,-0.5020477236831579
sub006,50nd,commercial_doritos_30s,1.0,1.0,0.5831217187330077
sub006,50nd,commercial_expedia_30s,0.0,1.0,0.6444744866555776
sub006,50wd,commercial_google_pixel_30s,0.0,0.0,0.4165792331519503
sub006,50wd,commercial_hr_block_30s,1.0,1.0,0.7880099561014362
sub006,50wd,commercial_jersey_mikes_30s,0.0,1.0,0.43449093987531445
sub006,50wd,commercial_lego_30s,0.0,1.0,0.20315554660175952
